Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
BELFSAVWJLQIBB-UHFFFAOYSA-N,-32.09429132,6310.297464,153035.5306,126.234122,1.178,2.605497358,0.581696535,0.010620569,0.005005378,0.022362347,-0.021618376,-0.3600498,-0.2642995,0.241,0.898
COGIRZHGENSUPE-UHFFFAOYSA-N,-35.95688457,5636.408339,131216.5776,115.595238,4.147,2.780628983,0.465515773,0.059921843,0.002383694,0.014682288,-0.020308436,-0.3730868,-0.2709006,0.1885,4.646
VDABBWFIBCXQRU-UHFFFAOYSA-N,-41.68646867,6963.925513,162382.2155,127.508759,3.352,3.175711708,0.507471729,0.052172099,0.002266603,0.01489583,-0.022852544,-0.3746502,-0.2579449,0.1644,3.54
LRCPYBHPYVZWBL-UHFFFAOYSA-N,-37.68075831,6647.871064,154677.7691,126.927307,4.927,2.605456043,0.512365252,0.044264752,0.00726048,0.027087724,-0.019932285,-0.3768053,-0.2810565,0.2771,5.716
WVYMRSMUEYGVDQ-UHFFFAOYSA-N,-33.76386833,5550.661064,141459.0441,115.059949,3.379,3.401666673,0.400177348,0.036079758,0.002111028,0.015728861,-0.017354738,-0.3890509,-0.264042,0.1175,3.613
KWFURRGBEZMQCO-UHFFFAOYSA-N,-35.57679483,8032.811658,216480.6531,143.908898,3.294,3.206516883,0.519492158,0.013132388,0.00578502,0.024081742,-0.023286862,-0.3625473,-0.24471,0.1886,3.336
KMFBUFMVRYPIBY-UHFFFAOYSA-N,-29.09355197,4758.448355,108234.201,107.276902,3.371,3.468557286,0.434620602,0.016388871,0.007699598,0.021568714,-0.01711056,-0.3509238,-0.2234567,0.1129,3.823
CSJAXRKDCCWCSJ-UHFFFAOYSA-N,-32.99501791,5653.07272,137733.7797,119.334094,6.44,2.840571098,0.553548319,0.036740537,0.003082673,0.014647024,-0.020570494,-0.3677088,-0.2633197,0.2133,6.871
PQCSOHWXRCPXRQ-UHFFFAOYSA-N,-40.02945423,6213.692808,143484.0898,120.644498,0.201,2.757065696,0.458908168,0.074304467,0.001897315,0.012154432,-0.019440835,-0.3805979,-0.2792776,0.1927,0.506
RKEYPORJJFWIGD-UHFFFAOYSA-N,-30.85671007,4655.681369,111551.1747,105.841333,4.497,2.550873505,0.438384382,0.035127024,0.002292229,0.017178609,-0.017256385,-0.3773519,-0.283609,0.2544,5.097
