SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
Fc1ccc(-c2cc3ccccn3c2)cc1,3.745400000000002,0,1,1,4.41,26,62.791000000000025,True,False,False,True
NCc1nc(C(F)(F)F)n2ccccc12,1.8118,1,3,2,43.31999999999999,23,48.08540000000002,True,False,False,True
Cc1ccc(C)n1-c1ncccc1C1CCCN1,2.913640000000001,1,3,4,29.85,37,73.01570000000004,True,False,False,True
CC(=O)c1ccc(-c2cn3ccccc3n2)cc1,3.2039000000000017,0,3,3,34.370000000000005,30,70.63250000000004,True,False,False,True
CN(C)c1nc(C(=O)O)c2ccccn12,1.0984999999999998,1,5,4,57.84,26,56.47830000000002,True,False,False,True
COc1ccnc(-n2cccc2C=O)c1C#N,1.5650799999999998,0,5,4,67.91,26,60.21850000000002,True,False,False,True
O=c1cc(CCl)nc2ccccn12,1.4333,0,3,1,34.370000000000005,20,51.01900000000001,True,False,False,True
NNC(=O)c1nc2ccc(Cl)cn2c1Br,1.3537,2,4,2,72.41999999999999,21,59.555600000000005,True,False,False,True
CCc1nc(I)c2ccccn12,2.5013000000000005,0,2,2,17.3,21,57.28700000000002,True,False,False,True
Nc1c(-c2ccccc2)nc2ccccn12,2.583500000000001,1,3,2,43.31999999999999,27,65.04040000000002,True,False,False,True
O=c1nc(SCc2ccccc2)nc2ccccn12,2.3818,0,5,3,47.260000000000005,30,75.26000000000003,True,False,False,True
O=Cc1c(-c2ccccc2)nc2ccccn12,2.8138000000000005,0,3,2,34.370000000000005,27,66.01550000000003,True,False,False,True
Cc1ccn2c(C(=O)CSc3ccccc3)c(C)nc2c1,3.926140000000003,0,4,6,34.370000000000005,37,86.16250000000004,True,False,False,True
COC(=O)c1ccn2cc(Cl)cc2c1O,2.0849000000000006,1,4,3,50.94,23,55.41130000000002,True,False,False,True
CC(C)(Cc1cn2ccccc2n1)C(=O)O,1.9876,1,4,5,54.60000000000001,30,60.31280000000003,True,False,False,True
Cc1nc2ccc(N)cn2c1C,1.53334,1,3,3,43.31999999999999,23,49.078400000000016,True,False,False,True
O=Cc1c(N2CCCC2)nc2ccccn2c1=O,1.1071999999999995,0,5,2,54.68,31,68.29650000000002,True,False,False,True
COc1ccn2cc(C)nc2c1,1.65132,0,3,3,26.53,22,46.481000000000016,True,False,False,True
